Legajo;Nombre;Clasificación;Tipo
15847;USPHAVENTURA;Empresa de Viajes y Turismo;Receptivo
15849;FAN TOUR & TRAVEL;Empresa de Viajes y Turismo;Otro
15852;CAMINOS DEL PLATA OPERADORA;Empresa de Viajes y Turismo;Otro
15857; LA YAPITA VIAJES;Empresa de Viajes y Turismo;Otro
15907;LAURA BRAGAGNOLO V. Y T.;Empresa de Viajes y Turismo;Otro
15963;VINEA VIAJES;Empresa de Viajes y Turismo;Otro
16017;TRANSHUMANS;Empresa de Viajes y Turismo;Otro
16078;SURCANDO VIAJES Y TURISMO;Agencia de Viajes y Turismo;Emisivo
16091;NUEVA CEPA;Empresa de Viajes y Turismo;Otro
16115;AUKAN EXPEDICIONES;Empresa de Viajes y Turismo;Otro
16169;MIRADOR DE ESTRELLAS;Empresa de Viajes y Turismo;Receptivo
16170; MAYAS;Empresa de Viajes y Turismo;Receptivo
16184;TURISMO ESTACION DEL SOL;Empresa de Viajes y Turismo;Emisivo,Receptivo
16194;WARAO TRAVEL;Empresa de Viajes y Turismo;Otro
16201;TOKIO VIAJES;Empresa de Viajes y Turismo;Receptivo
16254;PRIMITIVO VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
16298;VIAJES Y DISEÑO;Empresa de Viajes y Turismo;Otro
16347;LOPRESTI VIAJES;Empresa de Viajes y Turismo;Otro
16407;MASANEZ VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
16429;VIAJES CONOCER;Empresa de Viajes y Turismo;Otro
16451;RED GLOBE TOURS;Empresa de Viajes y Turismo;Otro
16475;NOW OR NEVER TRAVEL;Empresa de Viajes y Turismo;Otro
16514;BACKPACKERS TRAVEL AND ADVENTURE;Empresa de Viajes y Turismo;Otro
16516;BASE DOBLE VIAJES;Empresa de Viajes y Turismo;Otro
16561;OUTBACK.COM;Empresa de Viajes y Turismo;Otro
16611;LIFE TRIP;Agencia de Viajes y Turismo;Emisivo,Tour Operador
16629;EL INMIGRANTE VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
16652;CRISTIAN PAEZ VIAJES;Empresa de Viajes y Turismo;Otro
16660;VIAJAR EN UN CLICK;Empresa de Viajes y Turismo;Otro
16663;GABY HELDER VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
16693;ALDEBARAN VIAJES;Empresa de Viajes y Turismo;Otro
16710;TASTING TOURS;Empresa de Viajes y Turismo;Emisivo,Receptivo,Mayorista
16721;RINOS TURISMO;Empresa de Viajes y Turismo;Otro
16735; DILYS TOURS;Empresa de Viajes y Turismo;Otro
16772;DI PAOLA VIAJES Y TURISMO;Agencia de Viajes y Turismo;Emisivo,Receptivo
16888;OUTDOOR FRONTIERS TOURS;Empresa de Viajes y Turismo;Receptivo
16889;WINE CITY EXPERIENCE TRAVEL;Empresa de Viajes y Turismo;Otro
16916;UNCORKING;Empresa de Viajes y Turismo;Otro
16934;HERE AND THERE;Empresa de Viajes y Turismo;Otro
16934/3;HERE AND THERE;Agencia de Viajes y Turismo;Emisivo
16945;JORGE MORICHETTI VIAJES Y TURISMO;Empresa de Viajes y Turismo;Receptivo
16946;UN VIAJE A LA CARTA;Empresa de Viajes y Turismo;Otro
16993;AVALLONE VIAJES;Empresa de Viajes y Turismo;Emisivo,Emite Pasajes (IATA)
17012;CENTINELA DE PIEDRA;Empresa de Viajes y Turismo;Otro
17034;GREAT OBJECTIVE TRAVEL;Empresa de Viajes y Turismo;Otro
17079;SI NEUS TOUR;Agencia de Viajes y Turismo;Receptivo
17120;EXITING MENDOZA;Empresa de Viajes y Turismo;Otro
17122;VIA ROL Y Y TURISMO;Empresa de Viajes y Turismo;Otro
17123;VIVE LOS ANDES;Agencia de Viajes y Turismo;Emisivo,Receptivo
17150;CEPAS DEDICADOS A TU VIAJE;Agencia de Viajes y Turismo;Receptivo
17158;PARAMILLOS;Empresa de Viajes y Turismo;Otro
17172;EL COYOTE;Empresa de Viajes y Turismo;Otro
17190;AL MUNDO;Empresa de Viajes y Turismo;Otro
17196;BROOKLYN VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
17247;GARZON VIAJES;Agencia de Viajes y Turismo;Emisivo,Receptivo
17257; THUNDER TRAVEL;Empresa de Viajes y Turismo;Otro
17269;TRINACRIA VIAJES Y TURISMO;Agencia de Viajes y Turismo;Receptivo
17274;BEARD MODE;Empresa de Viajes y Turismo;Otro
17288; MERAT TURISMO;Empresa de Viajes y Turismo;Receptivo,Otro
17294; IKATU VIAJES;Agencia de Viajes y Turismo;Emisivo,Receptivo
17314;BEE INCOMING & EVENTS;Empresa de Viajes y Turismo;Receptivo
17314/2; BEE INCOMING;Empresa de Viajes y Turismo;Otro
17330;CLIMB & WINE;Empresa de Viajes y Turismo;Otro
17354;ROUSE WHITE TRAVEL;Agencia de Viajes y Turismo;Emisivo,Receptivo
17401;MERVAL VIAJES;Empresa de Viajes y Turismo;Otro
17482;SALVANDO LAS DISTANCIAS;Empresa de Viajes y Turismo;Emisivo,Receptivo
17501;HASHTAG WINE TOURS;Empresa de Viajes y Turismo;Receptivo
17553;MOUNTAIN ROUTES;Empresa de Viajes y Turismo;Otro
17572;TURISMO GORA;Empresa de Viajes y Turismo;Emisivo,Receptivo,Mayorista
17580;XNOCCIO;Empresa de Viajes y Turismo;Receptivo
17643;AMAZING TRAVEL;Empresa de Viajes y Turismo;Emisivo,Receptivo
17729;CUYO TRAVEL;Empresa de Viajes y Turismo;Emisivo,Receptivo
17735;ZONA MALBEC;Empresa de Viajes y Turismo;Otro
17746;VINOMIO VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
17750;SERGIO SANCHI VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
17757;COLORAMA VIAJES;Agencia de Viajes y Turismo;Emisivo,Receptivo
17769;MEVAK TRAVEL;Agencia de Viajes y Turismo;Emisivo,Receptivo
17780;VITIS TRAVEL;Agencia de Viajes y Turismo;Receptivo
17839;ADOCAMP VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
17853;FALAK;Agencia de Viajes y Turismo;Otro
17877;HUALILAN VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
17883; LAUKE;Empresa de Viajes y Turismo;Otro
17944;VICTORIA LOPEZ RODRIGUEZ;Empresa de Viajes y Turismo;Otro
17956;MENVIA;Empresa de Viajes y Turismo;Otro
17979;SODDIFARE;Empresa de Viajes y Turismo;Otro
17983;VIYUCO  TURISMO;Empresa de Viajes y Turismo;Emisivo,Receptivo
18015;PAYUN V y T;Empresa de Viajes y Turismo;Otro
18021;VILBO VIAJES;Empresa de Viajes y Turismo;Receptivo
18047;SARS TURISMO;Empresa de Viajes y Turismo;Emisivo,Receptivo,Tour Operador,Mayorista
18049;DEADOS VIAJES E.V.T.;Empresa de Viajes y Turismo;Emisivo,Receptivo
18051;AFORTUNADO TRAVEL;Empresa de Viajes y Turismo;Otro
18075;INDULGE MENDOZA;Empresa de Viajes y Turismo;Otro
18079;BOU VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
18098;WANKA VIAJES Y TURISMO;Empresa de Viajes y Turismo;Otro
18130;LOS VIAJES DE BACO;Empresa de Viajes y Turismo;Otro
18131;DANA VIAJES;Empresa de Viajes y Turismo;Otro
18139;MAMUT TOURS AND TRAVEL;Empresa de Viajes y Turismo;Otro
18149;SAPIENZA;Empresa de Viajes y Turismo;Otro
18152;AMAMBAY TOUR;Empresa de Viajes y Turismo;Receptivo
18206;BARUMA E.V.T.;Empresa de Viajes y Turismo;Otro
18212;DISTINTOS;Empresa de Viajes y Turismo;Otro
18219;VINO A LA MONTAÑA;Empresa de Viajes y Turismo;Receptivo
18226;SHIBA TOURS;Empresa de Viajes y Turismo;Otro
18249;CHARDONNAY;Empresa de Viajes y Turismo;Receptivo
