ID,Nombre,Habitaciones,Parcelas,Plazas,Cabañas,Fecha Inscripción,Departamento,Clasificación,Localidad
1096,URIBURO 45,2,0,11,2,19/04/2024,Malargue,PAT (Propiedad Alquiler Temporario),MALARGUE
1098,COSTA AZUL,0,0,0,6,03/05/2024,Junin,Hospedaje,JUNIN
1099,COMPLEJO CABAÑAS LAS ROSAS,6,0,13,3,06/05/2024,Malargue,Cabañas,MALARGUE
1101,EL NEVADO MALARGUE,14,1,40,14,12/04/2023,Malargue,Hotel,MALARGUE
1102,CABAÑAS CALDERON-COMPLEJO I,0,0,36,7,20/05/2024,San Rafael,Cabañas,SAN RAFAEL
1103,CABAÑAS CALDERON-COMPLEJO II,0,0,28,6,20/05/2024,San Rafael,Cabañas,LAS PAREDES
1104,DOMO LOS MOLLES,6,4,12,4,22/05/2024,Malargue,Hospedaje,LOS CORRALES
1105,DON PABLO POSADA RURAL,3,0,9,0,13/05/2024,Junin,Hospedaje,JUNIN
1106,HOSTEL SAMADI,0,27,6,0,23/05/2024,Las Heras,Hospedaje,USPALLATA
1107,FINCA SILVESTRE,5,0,25,0,25/06/2020,San Rafael,Hospedaje,SAN RAFAEL
1108,QUILIMBAI,0,0,0,5,28/05/2024,Malargue,PAT (Propiedad Alquiler Temporario),MALARGUE
1109,ALTO AMALAR PREMIUM,12,0,24,6,31/05/2024,Malargue,Cabañas,MALARGUE
1110,POSADA DE BUDA,5,1,13,2,05/06/2024,Malargue,PAT (Propiedad Alquiler Temporario),MALARGUE
1111,DEPARTAMENTOS EPUYEN,2,0,4,2,05/06/2024,Malargue,PAT (Propiedad Alquiler Temporario),MALARGUE
1112,HOTEL HUALUM,32,0,84,0,05/06/2024,Malargue,Hotel,LOS MOLLES 
1113,ALOJAMIENTO ALEM,1,1,4,1,12/03/2024,Gral. Alvear,PAT (Propiedad Alquiler Temporario),GRAL. ALVEAR
1114,ALTA MENDOZA,12,0,26,0,19/06/2024,Capital,Hospedaje,4A. SECCION
1115,CABAÑAS DEL CERRO,0,0,120,23,24/06/2024,San Rafael,Cabañas,RAMA CAIDA
1116,MORA HOSTEL,8,0,32,0,25/06/2024,Capital,Hospedaje,CIUDAD
1117,LAS TERMAS DE LOS MOLLES,0,26,11,0,28/06/2024,Malargue,Hospedaje,LOS MOLLES
1118,LOS COLIBRIES,5,0,17,3,02/07/2024,San Rafael,Hospedaje,VALLE GRANDE
1121,CABAÑAS LOS MOLLES,0,1,16,4,05/07/2024,Malargue,Hospedaje,LOS MOLLES
1122,LAS DOLINAS,5,0,10,3,08/07/2024,Malargue,Hospedaje,MALARGUE
